cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737123.618414352,737123.61494213,737123.611469907,737123.607997685,737123.604525463,737123.601053241,737123.597581018,737123.594108796,737123.590636574,737123.587164352,737123.58369213,737123.580219907,737123.576747685,737123.573275463,737123.569803241,737123.566331018,737123.562858796,737123.559386574,737123.555914352,737123.55244213,737123.548969907,737123.545497685,737123.542025463,737123.538553241,737123.535081018,737123.531608796,,,,,
737119.584074074,737119.580601852,737119.57712963,737119.573657407,737119.570185185,737119.566712963,737119.563240741,737119.559768519,737119.556296296,737119.552824074,737119.549351852,737119.54587963,737119.542407407,737119.538935185,737119.535462963,737119.531990741,737119.528518519,737119.525046296,737119.521574074,737119.518101852,737119.51462963,737119.511157407,737119.507685185,737119.504212963,737119.500740741,737119.497268519,737119.493796296,737119.490324074,737119.486851852,737119.48337963,
737117.629074074,737117.625601852,737117.62212963,737117.618657407,737117.615185185,737117.611712963,737117.608240741,737117.604768518,737117.601296296,737117.597824074,737117.594351852,737117.59087963,737117.587407407,737117.583935185,737117.580462963,737117.576990741,737117.573518518,737117.570046296,737117.566574074,737117.563101852,737117.55962963,737117.556157407,737117.552685185,737117.549212963,737117.545740741,737117.542268518,737117.538796296,737117.535324074,737117.531851852,737117.52837963,
737115.594224537,737115.590752315,737115.587280093,737115.58380787,737115.580335648,737115.576863426,737115.573391204,737115.569918982,737115.566446759,737115.562974537,737115.559502315,737115.556030093,737115.55255787,737115.549085648,737115.545613426,737115.542141204,737115.538668982,737115.535196759,737115.531724537,737115.528252315,737115.524780093,737115.52130787,737115.517835648,737115.514363426,737115.510891204,737115.507418982,737115.503946759,737115.500474537,737115.497002315,737115.493530093,737115.49005787
737113.673969907,737113.670497685,737113.667025463,737113.663553241,737113.660081018,737113.656608796,737113.653136574,737113.649664352,737113.64619213,737113.642719907,737113.639247685,737113.635775463,737113.632303241,737113.628831018,737113.625358796,737113.621886574,737113.618414352,737113.61494213,737113.611469907,737113.607997685,737113.604490741,737113.601018519,737113.597546296,737113.594074074,737113.590601852,737113.58712963,737113.583657407,737113.580185185,737113.576712963,737113.573240741,
737110.61099537,737110.607523148,737110.604050926,737110.600578704,737110.597106481,737110.593634259,737110.590162037,737110.586689815,737110.583217593,737110.57974537,737110.576273148,737110.572800926,737110.569328704,737110.565856481,737110.562384259,737110.558912037,737110.555439815,737110.551967593,737110.54849537,737110.545023148,737110.541550926,737110.538078704,737110.534606481,737110.531134259,737110.527662037,737110.524189815,737110.520717593,737110.51724537,737110.513773148,737110.510300926,
737107.617731481,737107.614259259,737107.610787037,737107.607314815,737107.603842593,737107.60037037,737107.596898148,737107.593425926,737107.589953704,737107.586481481,737107.583009259,737107.579537037,737107.576064815,737107.572592593,737107.56912037,737107.565648148,737107.562175926,737107.558703704,737107.555231481,737107.551759259,737107.548287037,737107.544814815,737107.541342593,737107.53787037,737107.534398148,737107.530925926,737107.527453704,737107.523981481,737107.520509259,737107.517037037,
737106.655868056,737106.652395833,737106.648923611,737106.645451389,737106.641967593,737106.63849537,737106.635023148,737106.631550926,737106.628078704,737106.624606482,737106.621134259,737106.617662037,737106.614189815,737106.610717593,737106.60724537,737106.603773148,737106.600300926,737106.596828704,737106.593356482,737106.589884259,737106.586412037,737106.582939815,737106.579467593,737106.57599537,737106.572523148,737106.569050926,737106.565578704,737106.562106482,737106.558634259,737106.555162037,
737105.607164352,737105.60369213,737105.600219907,737105.596747685,737105.593275463,737105.589803241,737105.586331018,737105.582858796,737105.579386574,737105.575914352,737105.57244213,737105.568969907,737105.565497685,737105.562025463,737105.558553241,737105.555081018,737105.551608796,737105.548136574,737105.544664352,737105.54119213,737105.537719907,737105.534247685,737105.530775463,737105.527303241,737105.523831018,737105.520358796,737105.516886574,737105.513414352,737105.50994213,737105.506469907,
737103.640821759,737103.637349537,737103.633877315,737103.630405093,737103.62693287,737103.623460648,737103.619988426,737103.616516204,737103.613043981,737103.609571759,737103.606099537,737103.602627315,737103.599155093,737103.59568287,737103.592210648,737103.588738426,737103.585266204,737103.581793981,737103.578321759,737103.574849537,737103.571377315,737103.567905093,737103.56443287,737103.560960648,737103.557488426,737103.554016204,737103.550543981,737103.547071759,737103.543599537,737103.540127315,
737100.66494213,737100.661469907,737100.657997685,737100.654525463,737100.651053241,737100.647581019,737100.644108796,737100.640636574,737100.637164352,737100.63369213,737100.630219907,737100.626747685,737100.623275463,737100.619803241,737100.616331019,737100.612858796,737100.609386574,737100.605914352,737100.60244213,737100.598969907,737100.595497685,737100.592025463,737100.588553241,737100.585081019,737100.581608796,737100.578136574,737100.574664352,737100.57119213,737100.567719907,737100.564247685,
737099.675277778,737099.671805556,737099.668333333,737099.664861111,737099.661388889,737099.657916667,737099.654444444,737099.650972222,737099.6475,737099.644027778,737099.640555556,737099.637083333,737099.633611111,737099.630138889,737099.626666667,737099.623194444,737099.619722222,737099.61625,737099.612777778,737099.609305556,737099.605833333,737099.602361111,737099.598888889,737099.595416667,737099.591944444,737099.588472222,737099.585,737099.581527778,737099.578055556,737099.574583333,
737098.707256945,737098.703784722,737098.7003125,737098.696840278,737098.693368056,737098.689895833,737098.686423611,737098.682916667,737098.679444444,737098.675972222,737098.6725,737098.669027778,737098.665555556,737098.662083333,737098.658611111,737098.655138889,737098.651666667,737098.648194444,737098.644722222,737098.64125,737098.637777778,737098.634305556,737098.630833333,737098.627361111,737098.623888889,737098.620416667,737098.616944444,737098.613472222,737098.61,737098.606527778,
737097.616898148,737097.613425926,737097.609953704,737097.606481481,737097.603009259,737097.599537037,737097.596064815,737097.592592593,737097.58912037,737097.585648148,737097.582175926,737097.578703704,737097.575231481,737097.571759259,737097.568287037,737097.564814815,737097.561342593,737097.55787037,737097.554398148,737097.550925926,737097.547453704,737097.543981481,737097.540509259,737097.537037037,737097.533564815,737097.530092593,737097.52662037,737097.523148148,737097.519675926,737097.516203704,737097.512731481
737096.717534722,737096.7140625,737096.710590278,737096.707118056,737096.703645833,737096.700173611,737096.696701389,737096.693229167,737096.689756944,737096.686284722,737096.6828125,737096.679340278,737096.675868056,737096.672372685,737096.668900463,737096.665428241,737096.661956019,737096.658483796,737096.655011574,737096.651539352,737096.64806713,737096.644594907,737096.641122685,737096.637650463,737096.634178241,737096.630706019,737096.627233796,737096.623761574,737096.620289352,737096.61681713,737096.613344907
737093.651365741,737093.64787037,737093.644398148,737093.640925926,737093.637453704,737093.633981481,737093.630509259,737093.627037037,737093.623564815,737093.620092593,737093.61662037,737093.613148148,737093.609675926,737093.606203704,737093.602731481,737093.599259259,737093.595787037,737093.592314815,737093.588842593,737093.58537037,737093.581898148,737093.578425926,737093.574953704,737093.571481481,737093.568009259,737093.564537037,737093.561064815,737093.557592593,737093.55412037,737093.550648148,
737043.612256944,737043.608784722,737043.6053125,737043.601840278,737043.598368056,737043.594895833,737043.591423611,737043.587951389,737043.584479167,737043.581006944,737043.577534722,737043.5740625,737043.570590278,737043.567118056,737043.563645833,737043.560173611,737043.556701389,737043.553229167,737043.549756944,737043.546284722,737043.5428125,737043.539340278,737043.535868056,737043.532395833,737043.528923611,737043.525451389,737043.521979167,737043.518506944,737043.515034722,737043.5115625,
737041.622546296,737041.619074074,737041.615601852,737041.61212963,737041.608657407,737041.605185185,737041.601712963,737041.598240741,737041.594768518,737041.591296296,737041.587824074,737041.584351852,737041.58087963,737041.577407407,737041.573935185,737041.570462963,737041.566990741,737041.563518518,737041.560046296,737041.556574074,737041.553101852,737041.54962963,737041.546157407,737041.542685185,737041.539212963,737041.535740741,737041.532268518,737041.528796296,737041.525324074,737041.521851852,
737040.667627315,737040.664131944,737040.660659722,737040.6571875,737040.653715278,737040.650243056,737040.646770833,737040.643298611,737040.639826389,737040.636354167,737040.632881944,737040.629409722,737040.6259375,737040.622465278,737040.618993056,737040.615520833,737040.612048611,737040.608576389,737040.605104167,737040.601631944,737040.598159722,737040.5946875,737040.591215278,737040.587743056,737040.584270833,737040.580798611,737040.577326389,737040.573854167,737040.570381944,737040.566909722,
737037.629641204,737037.626168981,737037.622696759,737037.619224537,737037.615752315,737037.612280093,737037.60880787,737037.6053125,737037.601840278,737037.598368056,737037.594895833,737037.591423611,737037.587951389,737037.584479167,737037.581006944,737037.577534722,737037.5740625,737037.570590278,737037.567118056,737037.563645833,737037.560173611,737037.556701389,737037.553229167,737037.549756944,737037.546284722,737037.5428125,737037.539340278,737037.535868056,737037.532395833,737037.528923611,737037.525451389
737036.726782407,737036.723310185,737036.719837963,737036.716365741,737036.712893519,737036.709421296,737036.705949074,737036.702476852,737036.69900463,737036.695532407,737036.692060185,737036.688587963,737036.685115741,737036.681643519,737036.678171296,737036.674699074,737036.671226852,737036.66775463,737036.664282407,737036.660810185,737036.657337963,737036.653865741,737036.650393519,737036.646921296,737036.643449074,737036.639976852,737036.63650463,737036.633032407,737036.629560185,737036.626087963,
737035.605196759,737035.601724537,737035.598252315,737035.594780093,737035.59130787,737035.587824074,737035.584351852,737035.58087963,737035.577407407,737035.573935185,737035.570462963,737035.566990741,737035.563518518,737035.560046296,737035.556574074,737035.553101852,737035.54962963,737035.546157407,737035.542685185,737035.539212963,737035.535740741,737035.532268518,737035.528796296,737035.525324074,737035.521851852,737035.51837963,737035.514907407,737035.511435185,737035.507962963,737035.504490741,737035.501018518
737034.664155093,737034.66068287,737034.657210648,737034.653738426,737034.650266204,737034.646793981,737034.643321759,737034.639849537,737034.636377315,737034.632905093,737034.62943287,737034.625960648,737034.622488426,737034.619016204,737034.615543981,737034.612071759,737034.608599537,737034.605127315,737034.601655093,737034.59818287,737034.594710648,737034.591238426,737034.587766204,737034.584293981,737034.580821759,737034.577337963,737034.573865741,737034.570393519,737034.566921296,737034.563449074,
737033.650196759,737033.646724537,737033.643252315,737033.639780093,737033.63630787,737033.632835648,737033.629363426,737033.625891204,737033.622418982,737033.618946759,737033.615474537,737033.612002315,737033.608530093,737033.60505787,737033.601585648,737033.598113426,737033.594641204,737033.591168982,737033.587696759,737033.584224537,737033.580752315,737033.577280093,737033.57380787,737033.570324074,737033.566851852,737033.56337963,737033.559907407,737033.556435185,737033.552962963,737033.549490741,
737031.670451389,737031.666979167,737031.663506944,737031.660034722,737031.6565625,737031.653090278,737031.649618056,737031.646145833,737031.642673611,737031.639201389,737031.635729167,737031.632256944,737031.628784722,737031.6253125,737031.621840278,737031.618368056,737031.614895833,737031.611423611,737031.607951389,737031.604479167,737031.60099537,737031.597523148,737031.594050926,737031.590578704,737031.587106481,737031.583634259,737031.580162037,737031.576689815,737031.573217593,737031.56974537,
737030.62525463,737030.621782407,737030.618310185,737030.614837963,737030.611365741,737030.607893519,737030.604421296,737030.600949074,737030.59744213,737030.593969907,737030.590497685,737030.587025463,737030.583553241,737030.580081019,737030.576608796,737030.573136574,737030.569664352,737030.56619213,737030.562719907,737030.559247685,737030.555775463,737030.552303241,737030.548831019,737030.545358796,737030.541886574,737030.538414352,737030.53494213,737030.531469907,737030.527997685,737030.524525463,
737029.590462963,737029.586967593,737029.58349537,737029.580023148,737029.576550926,737029.573078704,737029.569606481,737029.566134259,737029.562662037,737029.559189815,737029.555717593,737029.55224537,737029.548773148,737029.545300926,737029.541828704,737029.538356481,737029.534884259,737029.531412037,737029.527939815,737029.524467593,737029.52099537,737029.517523148,737029.514050926,737029.510578704,737029.507106481,737029.503634259,737029.500162037,737029.496689815,737029.493217593,737029.48974537,
737028.604270833,737028.600798611,737028.597326389,737028.593854167,737028.590381944,737028.586909722,737028.5834375,737028.579965278,737028.576481481,737028.573009259,737028.569537037,737028.566064815,737028.562592593,737028.55912037,737028.555648148,737028.552175926,737028.548703704,737028.545231481,737028.541759259,737028.538287037,737028.534814815,737028.531342593,737028.52787037,737028.524398148,737028.520925926,737028.517453704,737028.513981481,737028.510509259,737028.507037037,737028.503564815,737028.500092593
