cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737099.722407407,737099.718935185,737099.715462963,737099.711990741,737099.708518518,737099.705046296,737099.701574074,737099.698101852,737099.69462963,737099.691157407,737099.687685185,737099.684212963,737099.680740741,737099.677268518,737099.673796296,737099.670324074,737099.666851852,737099.66337963,737099.659907407,737099.656423611,737099.652951389,737099.649479167,737099.646006944,737099.642534722,737099.6390625,737099.635590278,737099.632118056,737099.628645833,737099.625173611,737099.621701389,
737098.611203704,737098.607731481,737098.604259259,737098.600787037,737098.597314815,737098.593842593,737098.59037037,737098.586898148,737098.583425926,737098.579953704,737098.576481481,737098.573009259,737098.569537037,737098.566064815,737098.562592593,737098.55912037,737098.555648148,737098.552175926,737098.548703704,737098.545231481,737098.541759259,737098.538287037,737098.534814815,737098.531342593,737098.52787037,737098.524398148,737098.520925926,737098.517453704,737098.513981481,737098.510509259,
737097.701446759,737097.697974537,737097.694502315,737097.691030093,737097.68755787,737097.684085648,737097.680613426,737097.677141204,737097.673668982,737097.670196759,737097.666724537,737097.663252315,737097.659780093,737097.65630787,737097.652835648,737097.649363426,737097.645891204,737097.642384259,737097.638912037,737097.635439815,737097.631967593,737097.62849537,737097.625023148,737097.621550926,737097.618078704,737097.614606482,737097.611134259,737097.607662037,737097.604189815,737097.600717593,
737088.51068287,737088.507210648,737088.503738426,737088.500266204,737088.496793982,737088.493321759,737088.489849537,737088.486377315,737088.482905093,737088.47943287,737088.475960648,737088.472488426,737088.469016204,737088.465543982,737088.462071759,737088.458599537,737088.455127315,737088.451655093,737088.44818287,737088.444710648,737088.441238426,737088.437766204,737088.434293982,737088.430821759,737088.427349537,737088.423877315,737088.420405093,737088.41693287,737088.413460648,737088.409988426,
737078.683310185,737078.679837963,737078.676365741,737078.672893518,737078.669421296,737078.665949074,737078.662476852,737078.65900463,737078.655532407,737078.652060185,737078.648587963,737078.645115741,737078.641643518,737078.638171296,737078.634699074,737078.631226852,737078.62775463,737078.624282407,737078.620810185,737078.617337963,737078.613865741,737078.610393518,737078.606921296,737078.603449074,737078.599976852,737078.59650463,737078.593032407,737078.589560185,737078.586087963,737078.582615741,
737077.641585648,737077.638113426,737077.634641204,737077.631168981,737077.627696759,737077.624224537,737077.620752315,737077.617280093,737077.61380787,737077.610335648,737077.606863426,737077.603368056,737077.599895833,737077.596423611,737077.592951389,737077.589479167,737077.586006944,737077.582534722,737077.5790625,737077.575590278,737077.572118056,737077.568645833,737077.565173611,737077.561701389,737077.558229167,737077.554756944,737077.551284722,737077.5478125,737077.544340278,737077.540868056,
737074.656921296,737074.653449074,737074.649976852,737074.64650463,737074.643032407,737074.639560185,737074.636087963,737074.632615741,737074.629143519,737074.625671296,737074.622199074,737074.618726852,737074.61525463,737074.611782407,737074.608310185,737074.604837963,737074.601365741,737074.597893519,737074.594421296,737074.590949074,737074.587476852,737074.58400463,737074.580520833,737074.577048611,737074.573576389,737074.570104167,737074.566631945,737074.563159722,737074.5596875,737074.556215278,737074.552743056
737073.656851852,737073.65337963,737073.649907407,737073.646435185,737073.642962963,737073.639490741,737073.636018518,737073.632546296,737073.629074074,737073.625601852,737073.62212963,737073.618657407,737073.615185185,737073.611712963,737073.608240741,737073.604768518,737073.601296296,737073.597824074,737073.594351852,737073.59087963,737073.587407407,737073.583935185,737073.580462963,737073.576990741,737073.573518518,737073.570023148,737073.566550926,737073.563078704,737073.559606481,737073.556134259,
737061.604699074,737061.601226852,737061.59775463,737061.594282407,737061.590810185,737061.587337963,737061.583865741,737061.580393519,737061.576921296,737061.573449074,737061.569976852,737061.56650463,737061.563032407,737061.559560185,737061.556087963,737061.552615741,737061.549143519,737061.545671296,737061.542199074,737061.538726852,737061.53525463,737061.531782407,737061.528310185,737061.524837963,737061.521365741,737061.517893519,737061.514421296,737061.510949074,737061.507476852,737061.50400463,
737057.66693287,737057.663460648,737057.659988426,737057.656516204,737057.653043982,737057.649571759,737057.646099537,737057.642627315,737057.639155093,737057.63568287,737057.632210648,737057.628738426,737057.625266204,737057.621793982,737057.618321759,737057.614849537,737057.611377315,737057.607905093,737057.60443287,737057.600960648,737057.597488426,737057.594016204,737057.590543982,737057.587071759,737057.583599537,737057.580127315,737057.576655093,737057.57318287,737057.569710648,737057.566238426,737057.562766204
